_id,DISTRICTE,BARRI,GRUP,HABITANTS GRUP,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
106,POBLATS MARITIMS,Districte,20 - 24,2745,"","","","","","","","","","","","","","","",""
107,CAMINS AL GRAU,Districte,20 - 24,3303,"","","","","","","","","","","","","","","",""
108,ALGIROS,Districte,20 - 24,2159,"","","","","","","","","","","","","","","",""
109,BENIMACLET,Districte,20 - 24,1695,"","","","","","","","","","","","","","","",""
110,RASCANYA,Districte,20 - 24,2871,"","","","","","","","","","","","","","","",""
111,BENICALAP,Districte,20 - 24,2253,"","","","","","","","","","","","","","","",""
112,POBLATS DEL NORD,Districte,20 - 24,302,"","","","","","","","","","","","","","","",""
113,POBLATS DE L'OEST,Districte,20 - 24,684,"","","","","","","","","","","","","","","",""
114,POBLATS DEL SUD,Districte,20 - 24,968,"","","","","","","","","","","","","","","",""
115,CIUTAT VELLA,Districte,25 - 29,1644,"","","","","","","","","","","","","","","",""
116,L'EIXAMPLE,Districte,25 - 29,2139,"","","","","","","","","","","","","","","",""
117,EXTRAMURS,Districte,25 - 29,2581,"","","","","","","","","","","","","","","",""
118,CAMPANAR,Districte,25 - 29,1899,"","","","","","","","","","","","","","","",""
119,LA SAIDIA,Districte,25 - 29,2838,"","","","","","","","","","","","","","","",""
120,EL PLA DEL REAL,Districte,25 - 29,1888,"","","","","","","","","","","","","","","",""
121,L'OLIVERETA,Districte,25 - 29,2745,"","","","","","","","","","","","","","","",""
122,PATRAIX,Districte,25 - 29,3024,"","","","","","","","","","","","","","","",""
123,JESUS,Districte,25 - 29,3055,"","","","","","","","","","","","","","","",""
124,QUATRE CARRERES,Districte,25 - 29,3961,"","","","","","","","","","","","","","","",""
125,POBLATS MARITIMS,Districte,25 - 29,3149,"","","","","","","","","","","","","","","",""
126,CAMINS AL GRAU,Districte,25 - 29,3602,"","","","","","","","","","","","","","","",""
127,ALGIROS,Districte,25 - 29,2631,"","","","","","","","","","","","","","","",""
128,BENIMACLET,Districte,25 - 29,1997,"","","","","","","","","","","","","","","",""
129,RASCANYA,Districte,25 - 29,3044,"","","","","","","","","","","","","","","",""
130,BENICALAP,Districte,25 - 29,2510,"","","","","","","","","","","","","","","",""
131,POBLATS DEL NORD,Districte,25 - 29,340,"","","","","","","","","","","","","","","",""
132,POBLATS DE L'OEST,Districte,25 - 29,818,"","","","","","","","","","","","","","","",""
133,POBLATS DEL SUD,Districte,25 - 29,1116,"","","","","","","","","","","","","","","",""
134,CIUTAT VELLA,Districte,30 -34,1922,"","","","","","","","","","","","","","","",""
135,L'EIXAMPLE,Districte,30 -34,2447,"","","","","","","","","","","","","","","",""
136,EXTRAMURS,Districte,30 -34,2944,"","","","","","","","","","","","","","","",""
137,CAMPANAR,Districte,30 -34,2293,"","","","","","","","","","","","","","","",""
138,LA SAIDIA,Districte,30 -34,2885,"","","","","","","","","","","","","","","",""
139,EL PLA DEL REAL,Districte,30 -34,1710,"","","","","","","","","","","","","","","",""
140,L'OLIVERETA,Districte,30 -34,2906,"","","","","","","","","","","","","","","",""
141,PATRAIX,Districte,30 -34,3261,"","","","","","","","","","","","","","","",""
142,JESUS,Districte,30 -34,3221,"","","","","","","","","","","","","","","",""
143,QUATRE CARRERES,Districte,30 -34,4305,"","","","","","","","","","","","","","","",""
144,POBLATS MARITIMS,Districte,30 -34,3333,"","","","","","","","","","","","","","","",""
145,CAMINS AL GRAU,Districte,30 -34,3696,"","","","","","","","","","","","","","","",""
146,ALGIROS,Districte,30 -34,2300,"","","","","","","","","","","","","","","",""
147,BENIMACLET,Districte,30 -34,2007,"","","","","","","","","","","","","","","",""
148,RASCANYA,Districte,30 -34,3137,"","","","","","","","","","","","","","","",""
149,BENICALAP,Districte,30 -34,2863,"","","","","","","","","","","","","","","",""
150,POBLATS DEL NORD,Districte,30 -34,340,"","","","","","","","","","","","","","","",""
151,POBLATS DE L'OEST,Districte,30 -34,869,"","","","","","","","","","","","","","","",""
152,POBLATS DEL SUD,Districte,30 -34,1285,"","","","","","","","","","","","","","","",""
153,CIUTAT VELLA,Districte,35 - 39,2101,"","","","","","","","","","","","","","","",""
154,L'EIXAMPLE,Districte,35 - 39,2922,"","","","","","","","","","","","","","","",""
155,EXTRAMURS,Districte,35 - 39,3325,"","","","","","","","","","","","","","","",""
156,CAMPANAR,Districte,35 - 39,2893,"","","","","","","","","","","","","","","",""
157,LA SAIDIA,Districte,35 - 39,3249,"","","","","","","","","","","","","","","",""
158,EL PLA DEL REAL,Districte,35 - 39,1899,"","","","","","","","","","","","","","","",""
159,L'OLIVERETA,Districte,35 - 39,3330,"","","","","","","","","","","","","","","",""
160,PATRAIX,Districte,35 - 39,3854,"","","","","","","","","","","","","","","",""
161,JESUS,Districte,35 - 39,3755,"","","","","","","","","","","","","","","",""
