Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
AUSIAS MARCH;AV;59;37710;"{""coordinates"": [-0.3710218429241228, 39.45066058732561], ""type"": ""Point""}";39.45066058732561, -0.3710218429241228
PUERTO;AV;214;37714;"{""coordinates"": [-0.3433092715534071, 39.463046284137505], ""type"": ""Point""}";39.463046284137505, -0.3433092715534071
VALLADOLID;AV;2;37719;"{""coordinates"": [-0.36376652063861264, 39.48982741001328], ""type"": ""Point""}";39.48982741001328, -0.36376652063861264
BLANQUERIAS;C;5;37720;"{""coordinates"": [-0.37666791729495264, 39.47959373999932], ""type"": ""Point""}";39.47959373999932, -0.37666791729495264
VALLE DE LA BALLESTERA;C;1ac;37721;"{""coordinates"": [-0.39354160493468154, 39.48095527578598], ""type"": ""Point""}";39.48095527578598, -0.39354160493468154
MAESTRO GUERRERO;C;6;37722;"{""coordinates"": [-0.3922945358251496, 39.473729059352], ""type"": ""Point""}";39.473729059352, -0.3922945358251496
DOCTOR TOMAS SALA;AV;S/N;37724;"{""coordinates"": [-0.3902962774953184, 39.4470916978521], ""type"": ""Point""}";39.4470916978521, -0.3902962774953184
PERIS Y VALERO;AV;S/N;37725;"{""coordinates"": [-0.36193466831583876, 39.46263689767736], ""type"": ""Point""}";39.46263689767736, -0.36193466831583876
MARINO BLAS DE LEZO;C;S/N;37727;"{""coordinates"": [-0.3351066698131018, 39.47015776181004], ""type"": ""Point""}";39.47015776181004, -0.3351066698131018
ADUANA;PL;S/N;37729;"{""coordinates"": [-0.3257769852540948, 39.462876125297186], ""type"": ""Point""}";39.462876125297186, -0.3257769852540948
VILARAGUT;C;3;37734;"{""coordinates"": [-0.3750273667738827, 39.4715371677621], ""type"": ""Point""}";39.4715371677621, -0.3750273667738827
YECLA;C;1;37736;"{""coordinates"": [-0.3538067353034194, 39.471767152542824], ""type"": ""Point""}";39.471767152542824, -0.3538067353034194
CONDE DE TRENOR;C;8ac;37743;"{""coordinates"": [-0.37492908870283276, 39.47888844401849], ""type"": ""Point""}";39.47888844401849, -0.37492908870283276
RAMON Y CAJAL;G.V.;12;37753;"{""coordinates"": [-0.38120968757168955, 39.46539779201783], ""type"": ""Point""}";39.46539779201783, -0.38120968757168955
GERMANIAS;G.V.;23;37754;"{""coordinates"": [-0.37569538336309793, 39.46397370174792], ""type"": ""Point""}";39.46397370174792, -0.37569538336309793
ALAMEDA;PSO;31;37755;"{""coordinates"": [-0.36015290429005853, 39.46772562397942], ""type"": ""Point""}";39.46772562397942, -0.36015290429005853
CORTS VALENCIANES;AV;S/N;37757;"{""coordinates"": [-0.4000356597754103, 39.490348336708585], ""type"": ""Point""}";39.490348336708585, -0.4000356597754103
SUECA;C;2ac;37762;"{""coordinates"": [-0.376477419808825, 39.46334912977018], ""type"": ""Point""}";39.46334912977018, -0.376477419808825
MENENDEZ PIDAL;AV;14;37764;"{""coordinates"": [-0.38786268606081065, 39.48015463878395], ""type"": ""Point""}";39.48015463878395, -0.38786268606081065
MENENDEZ PIDAL;AV;S/N;37765;"{""coordinates"": [-0.38744350599356703, 39.48033728294959], ""type"": ""Point""}";39.48033728294959, -0.38744350599356703
TAMARINDOS;AV;12ac;37766;"{""coordinates"": [-0.4021951171461597, 39.47786796722491], ""type"": ""Point""}";39.47786796722491, -0.4021951171461597
VALLE DE LA BALLESTERA;C;59;37767;"{""coordinates"": [-0.4015868440142684, 39.478359014874385], ""type"": ""Point""}";39.478359014874385, -0.4015868440142684
AYUNTAMIENTO;PL;17;37775;"{""coordinates"": [-0.37653792725696067, 39.47095141952952], ""type"": ""Point""}";39.47095141952952, -0.37653792725696067
JUAN LLORENS;C;62;37777;"{""coordinates"": [-0.3888747076744024, 39.46982456855419], ""type"": ""Point""}";39.46982456855419, -0.3888747076744024
TRES CRUCES;AV;S/N;37634;"{""coordinates"": [-0.40636840511441275, 39.46933029025292], ""type"": ""Point""}";39.46933029025292, -0.40636840511441275
DOLORES MARQUES;C;21ac;37637;"{""coordinates"": [-0.3626167292652616, 39.48754595788804], ""type"": ""Point""}";39.48754595788804, -0.3626167292652616
FUENTE DE SAN LUIS;CRA;34ac;37641;"{""coordinates"": [-0.37166709573754225, 39.45635611019901], ""type"": ""Point""}";39.45635611019901, -0.37166709573754225
