OBJECTID;Àngul / Ángulo;Id. Càmera / Id. Cámara;Tipus Càmera / Tipo Cámara;Pas Inferior / Paso Inferior;Descripció / Descripción;URL;geo_shape;geo_point_2d
114424;238.1000061;07402;CF;No;AUTOPISTA DEL SALER direccion ANTONIO FERRANDIS;https://camaras.valencia.es/camaras/visualizador.html?id=07402;"{""coordinates"": [-0.3517292380397115, 39.4532541681322], ""type"": ""Point""}";39.4532541681322, -0.3517292380397115
114429;148.82000732;07502;CF;No;CORTES VALENCIANAS direccion PIO XII;https://camaras.valencia.es/camaras/visualizador.html?id=07502;"{""coordinates"": [-0.3987335017456433, 39.4898307446216], ""type"": ""Point""}";39.4898307446216, -0.3987335017456433
114440;0.0;05916;CF;Si;AV. BLASCO IBAdEZ direccion P.I. AV.CATALU;https://camaras.valencia.es/camaras/visualizador.html?id=05916;"{""coordinates"": [-0.35286000952746976, 39.480574064616526], ""type"": ""Point""}";39.480574064616526, -0.35286000952746976
114448;0.0;05913;CF;Si;AV. BLASCO IBAdEZ direccion P.I. AV.CATALU;https://camaras.valencia.es/camaras/visualizador.html?id=05913;"{""coordinates"": [-0.35103595440918645, 39.48180408207039], ""type"": ""Point""}";39.48180408207039, -0.35103595440918645
114449;0.0;05923;CF;Si;CLARIANO direccion P.I. AV.CATALUAA - CLARIANO;https://camaras.valencia.es/camaras/visualizador.html?id=05923;"{""coordinates"": [-0.351443866312767, 39.481167543127526], ""type"": ""Point""}";39.481167543127526, -0.351443866312767
114452;283.1000061;02505;CF;No;REINO DE VALENCIA direccion RUZAFA;https://camaras.valencia.es/camaras/visualizador.html?id=02505;"{""coordinates"": [-0.3628199289799231, 39.46253865899157], ""type"": ""Point""}";39.46253865899157, -0.3628199289799231
114455;237.94000244;07702;CF;No;MAURO GUILLEN direccion PUENTE DE LAS ARTES;https://camaras.valencia.es/camaras/visualizador.html?id=07702;"{""coordinates"": [-0.38214181229809036, 39.48270748288982], ""type"": ""Point""}";39.48270748288982, -0.38214181229809036
114456;56.20000076;07803;CF;Si;P.I. PECHINA - BLANQUERIAS direccion CONDE DE TRENOR;https://camaras.valencia.es/camaras/visualizador.html?id=07803;"{""coordinates"": [-0.3832311759190447, 39.480343788583525], ""type"": ""Point""}";39.480343788583525, -0.3832311759190447
114459;13.85999966;11702;CF;No;SAN VICENTE MARTIR direccion GIORGETA;https://camaras.valencia.es/camaras/visualizador.html?id=11702;"{""coordinates"": [-0.386348077816978, 39.44649663122075], ""type"": ""Point""}";39.44649663122075, -0.386348077816978
114461;284.73999023;11705;CF;No;DR. TOMAS SALA direccion CARTEROS;https://camaras.valencia.es/camaras/visualizador.html?id=11705;"{""coordinates"": [-0.3864304234717664, 39.4464634384967], ""type"": ""Point""}";39.4464634384967, -0.3864304234717664
114462;194.63000488;11704;CF;No;SAN VICENTE MARTIR direccion V-30;https://camaras.valencia.es/camaras/visualizador.html?id=11704;"{""coordinates"": [-0.3863885474508086, 39.44639943497558], ""type"": ""Point""}";39.44639943497558, -0.3863885474508086
114468;62.38000107;12602;CF;Si;P.I. FERIA DE MUESTRAS direccion BURJASOT;https://camaras.valencia.es/camaras/visualizador.html?id=12602;"{""coordinates"": [-0.42731062444119755, 39.502864210874215], ""type"": ""Point""}";39.502864210874215, -0.42731062444119755
114473;239.05999756;12603;CF;Si;P.I. FERIA DE MUESTRAS direccion PATERNA;https://camaras.valencia.es/camaras/visualizador.html?id=12603;"{""coordinates"": [-0.4271772289592978, 39.50311035117084], ""type"": ""Point""}";39.50311035117084, -0.4271772289592978
114496;332.69000244;10103;CF;No;PASEO DE LA ALAMEDA direccion EDUARDO BOSCA;https://camaras.valencia.es/camaras/visualizador.html?id=10103;"{""coordinates"": [-0.35740297492194834, 39.46151608423132], ""type"": ""Point""}";39.46151608423132, -0.35740297492194834
114501;284.67001343;10304;CF;No;AV. BALEARES direccion PADRE TOMAS MONTAOANA;https://camaras.valencia.es/camaras/visualizador.html?id=10304;"{""coordinates"": [-0.34245093616201594, 39.4594783335996], ""type"": ""Point""}";39.4594783335996, -0.34245093616201594
114507;59.63000107;12103;CF;No;ANTONIO FERRANDIS direccion AUTOPISTA DEL SALER;https://camaras.valencia.es/camaras/visualizador.html?id=12103;"{""coordinates"": [-0.36871180315736574, 39.44671283848671], ""type"": ""Point""}";39.44671283848671, -0.36871180315736574
114511;169.28999329;04402;CF;No;PUENTE NUEVE DE OCTUBRE direccion AV. CID;https://camaras.valencia.es/camaras/visualizador.html?id=04402;"{""coordinates"": [-0.40593979586940687, 39.47473441267128], ""type"": ""Point""}";39.47473441267128, -0.40593979586940687
