objectid;Código;Bocas;Situación;Estado;Tipo calle;Calle;Número;APERTURA;M_DERECHA;M_INFERIOR;M_IZQUIERDA;OPERATIVO;geo_shape;geo_point_2d
3584;H168;3 O 70;U;O;C;VISITACION;11;D;;2.4;;S;"{""coordinates"": [-0.3772551433111592, 39.48364187673629], ""type"": ""Point""}";39.48364187673629, -0.3772551433111592
3589;H1036;3 O 70;U;O;C;RUAYA;16;D;;0.5;;S;"{""coordinates"": [-0.37510486140871707, 39.485500985966105], ""type"": ""Point""}";39.485500985966105, -0.37510486140871707
3593;H1092;1 O 70;U;O;;CAVITE;48-A;D;;1.5;;S;"{""coordinates"": [-0.32657673466433446, 39.47723197871488], ""type"": ""Point""}";39.47723197871488, -0.32657673466433446
3596;H889;3 O 70;U;O;C;SAN JUAN DE DIOS;17;D;;2.0;;S;"{""coordinates"": [-0.3313652104296042, 39.47788943464044], ""type"": ""Point""}";39.47788943464044, -0.3313652104296042
3598;H247;3 O 70;U;O;AV;MALVARROSA;81;D;3.70000005;0.30000001;;S;"{""coordinates"": [-0.3281153740290323, 39.48063688949335], ""type"": ""Point""}";39.48063688949335, -0.3281153740290323
3602;H540;3 O 70;U;O;C;ALQUERIA CREMA, L´;--;D;;3.0;;S;"{""coordinates"": [-0.3681206558403379, 39.49425960733695], ""type"": ""Point""}";39.49425960733695, -0.3681206558403379
3605;H511;3 O 70;U;O;C;BARON DE SAN PETRILLO;42;D;;1.0;2.0;S;"{""coordinates"": [-0.36018220334074574, 39.486796658144186], ""type"": ""Point""}";39.486796658144186, -0.36018220334074574
3617;H737;3 O 70;U;O;C;POETA RICARD SANMARTI;3;D;;8.0;;S;"{""coordinates"": [-0.3574178150287941, 39.49009746412962], ""type"": ""Point""}";39.49009746412962, -0.3574178150287941
3618;H396;3 O 70;U;O;C;MASQUEFA;43 Acc;D;;2.25;;S;"{""coordinates"": [-0.35876220693120847, 39.49056648730204], ""type"": ""Point""}";39.49056648730204, -0.35876220693120847
3620;H621;3 O 70;U;O;C;ALFAHUIR;44;I;3.0;2.0;;S;"{""coordinates"": [-0.3618852324297863, 39.49133601019918], ""type"": ""Point""}";39.49133601019918, -0.3618852324297863
3624;H512;3 O 70;U;O;C;SARCET;6;D;;2.1500001;;S;"{""coordinates"": [-0.3572855720028253, 39.49273558619896], ""type"": ""Point""}";39.49273558619896, -0.3572855720028253
3630;H967;3 O 70;U;O;C;José Chabas Bordehore;5 Acc;D;;1.0;;S;"{""coordinates"": [-0.3611387701741189, 39.49362637151116], ""type"": ""Point""}";39.49362637151116, -0.3611387701741189
3632;H959;3 O 70;U;O;Avd;ALFAHUIR;47-49;D;;1.5;;S;"{""coordinates"": [-0.3593993688772471, 39.493517739440875], ""type"": ""Point""}";39.493517739440875, -0.3593993688772471
3633;H819;3 O 70;U;O;C;Pio Baroja;Parells;D;;7.0;;S;"{""coordinates"": [-0.4065289846543453, 39.479154971492676], ""type"": ""Point""}";39.479154971492676, -0.4065289846543453
3790;H656;3 O 70;U;O;C;PADRE BARRANCO;2 Acc;D;;1.0;;S;"{""coordinates"": [-0.39822981735141616, 39.48770589402819], ""type"": ""Point""}";39.48770589402819, -0.39822981735141616
3792;H846;3 O 70;U;O;C;PADRE BARRANCO;36;D;;8.0;;S;"{""coordinates"": [-0.40160218888296717, 39.48820568770991], ""type"": ""Point""}";39.48820568770991, -0.40160218888296717
3793;H936;3 O 70;U;O;C;Padre Barranco;44 Acc;D;;1.0;;S;"{""coordinates"": [-0.40372131855979015, 39.487657501061314], ""type"": ""Point""}";39.487657501061314, -0.40372131855979015
3794;H779;3 O 70;P;O;C;Castell de la Creu;1;D;;;;S;"{""coordinates"": [-0.4118090551519505, 39.54498978372294], ""type"": ""Point""}";39.54498978372294, -0.4118090551519505
3797;H783;3 O 70;P;O;C;Badall, del.;s/n;D;;;;S;"{""coordinates"": [-0.411864427730156, 39.54657343199272], ""type"": ""Point""}";39.54657343199272, -0.411864427730156
3800;H516;3 O 70;U;O;C;SANTIAGO RUSIÑOL;20;D;;1.5;;S;"{""coordinates"": [-0.36820973468130574, 39.49652939894651], ""type"": ""Point""}";39.49652939894651, -0.36820973468130574
3806;H911;3 O 70;U;F;Avd;Portugal;s/n;D;3.0;4.0;;S;"{""coordinates"": [-0.3814565308479137, 39.487254208913654], ""type"": ""Point""}";39.487254208913654, -0.3814565308479137
3821;H1135;3 O 70;U;O;C;GENERAL LLORENS;33;D;;1.0;;S;"{""coordinates"": [-0.38669526621985467, 39.493529399935255], ""type"": ""Point""}";39.493529399935255, -0.38669526621985467
3830;H153;3 O 70;U;O;Avd;Doctor Peset Aleixandre;39;D;;0.5;;S;"{""coordinates"": [-0.37643677298125505, 39.49140708423851], ""type"": ""Point""}";39.49140708423851, -0.37643677298125505
3831;H857;3 O 70;U;O;Avd;DOCTOR PESET ALEIXANDRE;46;D;;2.0;;S;"{""coordinates"": [-0.3777474496947817, 39.49132500692899], ""type"": ""Point""}";39.49132500692899, -0.3777474496947817
3841;H949;3 O 70;U;O;C;Beniferri;51;D;;;;S;"{""coordinates"": [-0.4070413603708427, 39.49522253489115], ""type"": ""Point""}";39.49522253489115, -0.4070413603708427
3846;H898;3 O 70;U;O;C;SAFOR, DE LA;2 Acc;D;;1.0;;N;"{""coordinates"": [-0.3971678610790293, 39.49144605189761], ""type"": ""Point""}";39.49144605189761, -0.3971678610790293
3850;H796;3 O 70;U;O;C;La Safor;Impares;D;;2.0;;S;"{""coordinates"": [-0.39910725733797764, 39.49082641301248], ""type"": ""Point""}";39.49082641301248, -0.39910725733797764
3851;H799;3 O 70;U;O;C;La Safor;10;D;;1.0;;S;"{""coordinates"": [-0.40012917429584943, 39.4901864238025], ""type"": ""Point""}";39.4901864238025, -0.40012917429584943
3434;H62;3 O 70;U;O;C;GENERAL SAN MARTIN;3;D;;2.5;;S;"{""coordinates"": [-0.3760659026536435, 39.46558260803469], ""type"": ""Point""}";39.46558260803469, -0.3760659026536435
3437;H379;3 O 70;U;O;C;COLON;18;I;;3.0;;S;"{""coordinates"": [-0.37362066678053274, 39.46781476974601], ""type"": ""Point""}";39.46781476974601, -0.37362066678053274
3441;H65;3 O 70;U;O;AV;MARQUES DE SOTELO;11;D;;5.0;;S;"{""coordinates"": [-0.3768721688576097, 39.4678702257785], ""type"": ""Point""}";39.4678702257785, -0.3768721688576097
3443;H85;3 O 70;U;O;C;MATEMATICO MARZAL;15;D;;2.0;;S;"{""coordinates"": [-0.37930426076632473, 39.46647263422935], ""type"": ""Point""}";39.46647263422935, -0.37930426076632473
3448;H828;3 O 70;U;O;C;JUAN VERDEGUER;2;D;;1.5;;S;"{""coordinates"": [-0.34031723533191593, 39.458959688640334], ""type"": ""Point""}";39.458959688640334, -0.34031723533191593
3449;H1172;3 O 70;U;O;C;JUAN VERDEGUER;15 Acc;D;;1.0;;S;"{""coordinates"": [-0.33869856076187077, 39.45905514320801], ""type"": ""Point""}";39.45905514320801, -0.33869856076187077
3451;H1174;3 O 70;U;O;C;JUAN VERDEGUER;Impares;D;;1.0;;S;"{""coordinates"": [-0.3358738284066978, 39.45895616405509], ""type"": ""Point""}";39.45895616405509, -0.3358738284066978
