OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
223370;1;"{""coordinates"": [-0.3260173369231206, 39.469023304652524], ""type"": ""Point""}";39.469023304652524, -0.3260173369231206
223372;1;"{""coordinates"": [-0.3909243831323942, 39.51562245419884], ""type"": ""Point""}";39.51562245419884, -0.3909243831323942
223373;1;"{""coordinates"": [-0.36413155574832207, 39.422631549483526], ""type"": ""Point""}";39.422631549483526, -0.36413155574832207
223374;1;"{""coordinates"": [-0.3901642775026235, 39.51421241968721], ""type"": ""Point""}";39.51421241968721, -0.3901642775026235
223375;1;"{""coordinates"": [-0.37854531900628585, 39.45409760649751], ""type"": ""Point""}";39.45409760649751, -0.37854531900628585
223380;1;"{""coordinates"": [-0.3935867821248228, 39.479774027106885], ""type"": ""Point""}";39.479774027106885, -0.3935867821248228
223388;1;"{""coordinates"": [-0.37561321899812977, 39.445612403482826], ""type"": ""Point""}";39.445612403482826, -0.37561321899812977
223390;1;"{""coordinates"": [-0.39228633876825614, 39.457851001796556], ""type"": ""Point""}";39.457851001796556, -0.39228633876825614
223392;1;"{""coordinates"": [-0.3951923807286658, 39.477486241498205], ""type"": ""Point""}";39.477486241498205, -0.3951923807286658
223393;1;"{""coordinates"": [-0.3433081008863001, 39.460307927229735], ""type"": ""Point""}";39.460307927229735, -0.3433081008863001
223396;1;"{""coordinates"": [-0.40098511690160754, 39.46299542962689], ""type"": ""Point""}";39.46299542962689, -0.40098511690160754
223404;1;"{""coordinates"": [-0.34811840471265065, 39.4522147963007], ""type"": ""Point""}";39.4522147963007, -0.34811840471265065
223406;1;"{""coordinates"": [-0.3848647606470168, 39.488374271558065], ""type"": ""Point""}";39.488374271558065, -0.3848647606470168
223409;1;"{""coordinates"": [-0.3916581710681474, 39.49155468554241], ""type"": ""Point""}";39.49155468554241, -0.3916581710681474
223411;1;"{""coordinates"": [-0.3248830646091321, 39.4685096290249], ""type"": ""Point""}";39.4685096290249, -0.3248830646091321
223419;1;"{""coordinates"": [-0.3849744709795231, 39.440285579098095], ""type"": ""Point""}";39.440285579098095, -0.3849744709795231
223420;1;"{""coordinates"": [-0.38510438519637047, 39.44034528456039], ""type"": ""Point""}";39.44034528456039, -0.38510438519637047
223421;1;"{""coordinates"": [-0.38447653275463606, 39.44097273219697], ""type"": ""Point""}";39.44097273219697, -0.38447653275463606
223425;1;"{""coordinates"": [-0.3835219095020633, 39.44011179413522], ""type"": ""Point""}";39.44011179413522, -0.3835219095020633
223426;1;"{""coordinates"": [-0.38337243422558354, 39.44009701511007], ""type"": ""Point""}";39.44009701511007, -0.38337243422558354
223428;1;"{""coordinates"": [-0.3821745829328452, 39.439977099250335], ""type"": ""Point""}";39.439977099250335, -0.3821745829328452
223435;1;"{""coordinates"": [-0.3752608365326541, 39.45576251230886], ""type"": ""Point""}";39.45576251230886, -0.3752608365326541
223441;1;"{""coordinates"": [-0.37519205229429037, 39.483547329997265], ""type"": ""Point""}";39.483547329997265, -0.37519205229429037
223444;1;"{""coordinates"": [-0.39164203586968477, 39.48386828805879], ""type"": ""Point""}";39.48386828805879, -0.39164203586968477
223445;1;"{""coordinates"": [-0.33925509161919987, 39.457731905017475], ""type"": ""Point""}";39.457731905017475, -0.33925509161919987
