"barrio","metros_carril_bici","estaciones_valenbisi","Total_poblacion","X0_15_años","X16_64_años","X65_o_más","paradas_emt","paradas_metro","plazas_mob","paradas_taxis","plazas_parkings","superficie_zonas_verdes","amenity","monuments","shop","sport","distrito","superficie_barrio","RENTA_BRUTA","SALARIO","Precio_alquiler/m2","Precio_venta/m2","Cargadores","Hospitales","Universidad","Estadio","otros_servicios","indice_ricos","eco_friendly"
"LA RAIOSA",0.035731545245137,1.06686922008677e-05,0.0414878767961244,0.00498494643085544,0.0279999826811773,0.00850294768409158,4.0007595753254e-05,2.66717305021693e-06,0.000109354095058894,5.33434610043386e-06,NA,0.0287254537508363,1.60030383013016e-05,5.33434610043386e-06,0.000125357133360196,NA,"JESUS",374928.803333052,15961.0909090909,9252.36363636364,"7.3",1796,NA,1,NA,NA,3.04699182037716,-0.254220828351258,-1.39389243325451
"LA ROQUETA",0.035062958566655,8.68630447304581e-06,0.0205257374698073,0.00232358644653976,0.0139849502016038,0.00421720082166374,3.47452178921833e-05,1.73726089460916e-05,4.34315223652291e-06,4.34315223652291e-06,NA,0.0050814881167318,0.000186755546170485,0.000321393265502695,4.7774674601752e-05,2.17157611826145e-05,"EXTRAMURS",230247.512760592,21934.6666666667,11382.6666666667,"10.4",3044,NA,NA,NA,NA,0.327865431652552,0.301840992072827,-1.67024034173491
"LA SEU",0.0571949478612452,4.52970843296697e-06,0.0142731112722789,0.00158539795153844,0.00988835350916688,0.00279935981157358,1.35891252989009e-05,NA,9.05941686593393e-06,9.05941686593393e-06,0.00105995177331427,0.0100559527211867,0.000375965799936258,0.000706634515542847,4.52970843296697e-06,9.05941686593393e-06,"CIUTAT VELLA",220764.761087503,25562.6666666667,13148,"13.2",3545,NA,NA,1,NA,4.00834223609964,0.677443935205809,0.690178755454663
"LA VEGA BAIXA",0.044372329020315,1.03477415456201e-05,NA,NA,NA,NA,2.58693538640502e-05,NA,9.83035446833906e-05,NA,NA,0.144920120346409,0.000129346769320251,NA,2.58693538640502e-05,NA,"ALGIROS",193278.89000538,23548.75,13183.25,"9.4",2221,NA,NA,1,NA,1.43288345766919,0.198042524652033,0.524805932840718
"LA XEREA",0.0491951879282652,9.63970424668193e-06,0.0128593654650737,0.00160661737444699,0.00820660154867521,0.00304614654195149,1.92794084933639e-05,NA,1.60661737444699e-05,3.21323474889398e-06,0.00119532332658856,0.0476522713260977,0.000109249981462395,0.000475558742836308,3.21323474889398e-06,1.28529389955759e-05,"CIUTAT VELLA",311212.867452093,36212.75,16100,"11.8",3393,NA,NA,NA,NA,-0.82642194503328,0.824583731480851,0.180804521192467
"LES TENDETES",0.061388894804652,3.87822757731953e-06,0.0207950562695873,0.00232693654639172,0.0129455236530926,0.00552259607010301,2.71475930412367e-05,NA,6.59298688144321e-05,NA,NA,0.104285539554122,NA,NA,7.75645515463907e-06,9.69556894329883e-05,"CAMPANAR",257849.747097915,16393.6,8091.8,"9.0",1626,NA,NA,NA,NA,-0.541296571991031,-0.201218467881065,1.95163564296027
"MALILLA",0.0325174799444053,2.7958830393213e-06,0.00927793816005635,0.00129968620142164,0.00595443205002885,0.00202381990860586,1.15829440200454e-05,NA,4.59323642174213e-05,1.19823558828056e-06,0.000390225389916701,0.162081333908083,1.35800033338463e-05,3.99411862760185e-07,2.23670643145704e-05,3.75447150994574e-05,"QUATRE CARRERES",2503681.27047949,15936.9333333333,9562.6,"8.7",1999,NA,1,NA,NA,-4.59909650212945,-0.12102832792021,-0.566506646954185
"MARXALENES",0.0463780553547569,1.02611166782759e-05,0.028038501323389,0.00339899489967891,0.0174310719572213,0.00720843446648885,3.33486292043968e-05,5.13055833913797e-06,8.72194917653455e-05,NA,NA,0.0816784887590765,1.02611166782759e-05,5.13055833913797e-06,5.13055833913797e-06,5.13055833913797e-05,"LA SAIDIA",389821.12039214,14190.7777777778,7470.66666666667,"7.8",1877,NA,NA,NA,NA,-1.84555807475602,-0.297045600676036,0.182842875300846
"MESTALLA",0.048168277548865,7.12254688172055e-06,0.0173588338418999,0.00255462014824377,0.0109212385519715,0.00388297514168465,3.32385521146959e-05,2.37418229390685e-06,5.46061927598575e-05,2.37418229390685e-06,0.000625597034444455,0.209711522020792,4.98578281720438e-05,2.84901875268822e-05,4.7483645878137e-06,0.000144825119928318,"EL PLA DEL REAL",842395.297586391,24411.2,13567.1,"9.7",2907,1,NA,1,1,-2.20867162923348,0.347548641150991,1.48767366056621
"MONTOLIVET",0.0377822181782654,1.05799639339803e-05,0.0410650720133509,0.00528363398862974,0.0262467745274182,0.009534663497303,4.86678340963092e-05,2.11599278679605e-06,0.000118495596060579,4.2319855735921e-06,NA,0.0709492381412716,4.65518413095131e-05,NA,2.75079062283487e-05,0.0001608154517965,"QUATRE CARRERES",472591.403070971,15577.4285714286,8311.21428571429,"8.2",1886,NA,NA,1,NA,1.87596933434658,-0.219485917393726,-0.810697625431575
