"","id_plaza","n_plazas","districto","latitud","longitud"
"1500",223791,1,"POBLATS MARITIMS",39.4491637398576,-0.334355999581483
"1501",223793,1,"BENICALAP",39.4929306666911,-0.400278914061605
"1502",223796,1,"BENICALAP",39.4939206098077,-0.383630208404289
"1503",223797,1,"BENICALAP",39.4933477749828,-0.382841249558825
"1504",223798,1,"BENICALAP",39.4930409767083,-0.383304653703353
"1505",223799,1,"CAMPANAR",39.4780533231073,-0.403303138516828
"1506",223800,1,"CAMPANAR",39.4776186741319,-0.402114479324762
"1507",223801,1,"BENIMACLET",39.4834095797919,-0.36002904629572
"1508",223807,1,"CAMPANAR",39.4777353815161,-0.398138049562974
"1509",223808,1,"POBLATS DEL SUD",39.2978457853876,-0.289081388421115
"1510",223816,1,"BENICALAP",39.4994043109273,-0.39097358634505
"1511",223831,1,"CAMPANAR",39.4837379799708,-0.388524882333264
"1512",223836,1,"PATRAIX",39.4557972196291,-0.401535936809624
"1513",223841,1,"POBLATS DE L'OEST",39.5044996115851,-0.420898106900446
"1514",223843,1,"RASCANYA",39.4908557805009,-0.380607010011679
"1515",223845,1,"POBLATS MARITIMS",39.4493056254019,-0.334674070966407
"1516",223846,1,"CAMINS AL GRAU",39.4636832151872,-0.356547216451696
"1517",223851,1,"QUATRE CARRERES",39.4510327250834,-0.370645972913655
"1518",223859,1,"ALGIROS",39.4745680521388,-0.348744694312699
"1519",223860,1,"EXTRAMURS",39.4618803841452,-0.381256541535936
"1520",223864,1,"QUATRE CARRERES",39.4582424328934,-0.357152432122142
"1521",223870,1,"L'OLIVERETA",39.4688446296639,-0.393461827160951
"1522",223872,1,"QUATRE CARRERES",39.4588752455747,-0.360390233005999
"1523",223873,1,"QUATRE CARRERES",39.4591424458215,-0.361639944398529
"1524",223875,1,"CAMINS AL GRAU",39.4711807681401,-0.353698954663031
"1525",223876,1,"EL PLA DEL REAL",39.4723706253093,-0.361454602502497
"1526",223877,1,"QUATRE CARRERES",39.4553327561052,-0.371583109036665
"1527",223881,1,"L'EIXAMPLE",39.4659431133156,-0.364103243248036
"1528",223883,1,"L'EIXAMPLE",39.4652970215418,-0.362681309377057
"1529",223886,1,"RASCANYA",39.4947138697686,-0.378606106660274
"1530",223889,1,"LA SAIDIA",39.4883458474358,-0.372152590896806
"1531",223901,1,"BENICALAP",39.4879804512315,-0.392684390073395
"1532",223902,1,"CAMPANAR",39.4797705539429,-0.393870551398335
"1533",223911,1,"L'EIXAMPLE",39.4713347913709,-0.366485900597997
"1534",223913,1,"ALGIROS",39.4747319541322,-0.351849957350886
"1535",223914,1,"JESUS",39.4578465432939,-0.384811364750574
"1536",223916,1,"POBLATS MARITIMS",39.4462758800915,-0.334809686354229
"1537",223919,2,"POBLATS MARITIMS",39.4786225595023,-0.324691789755393
"1538",223924,1,"LA SAIDIA",39.4885158790174,-0.38014320241368
"1539",223927,1,"PATRAIX",39.465902743784,-0.390421757039133
"1540",223928,1,"QUATRE CARRERES",39.4532529848927,-0.367560547604986
"1541",223931,1,"RASCANYA",39.4952606897839,-0.372233570515319
"1542",223932,1,"RASCANYA",39.4941201137995,-0.376754094094713
"1543",223937,1,"L'OLIVERETA",39.4685955934657,-0.41212504796026
"1544",223939,1,"QUATRE CARRERES",39.4495686012659,-0.373702007163854
"1545",223943,1,"QUATRE CARRERES",39.4516261807568,-0.379697909698424
"1546",223945,1,"QUATRE CARRERES",39.4499250880105,-0.380237370327765
"1547",223947,1,"CAMINS AL GRAU",39.4584069292401,-0.347607388179418
"1548",223950,1,"QUATRE CARRERES",39.4577629175596,-0.362832576553747
"1549",223956,1,"L'OLIVERETA",39.4702549507562,-0.404231608245176
"1550",223958,1,"L'OLIVERETA",39.4682528646254,-0.410308150757126
"1551",223959,1,"PATRAIX",39.4520249311739,-0.40507377700425
"1552",223961,1,"PATRAIX",39.4544064130344,-0.403593316530711
"1553",223962,1,"JESUS",39.450748908553,-0.392379002842393
"1554",223963,1,"ALGIROS",39.4736699358938,-0.351841138782477
"1555",223965,1,"CAMPANAR",39.4835051063188,-0.39577586648316
"1556",223969,1,"PATRAIX",39.4516202213993,-0.402208620126012
"1557",223970,1,"PATRAIX",39.4566911634228,-0.403496809678009
"1558",223975,1,"ALGIROS",39.4739162005305,-0.349081302941842
"1559",223977,1,"POBLATS MARITIMS",39.4598486681608,-0.336608329462906
"1560",223979,1,"CAMPANAR",39.4785977953619,-0.402641501214652
"1561",223986,1,"L'EIXAMPLE",39.4671994001047,-0.369367340162291
"1562",223992,1,"QUATRE CARRERES",39.4575329744481,-0.365940563409942
"1563",223996,1,"L'OLIVERETA",39.4635993697067,-0.407953377132058
"1564",223999,1,"CAMINS AL GRAU",39.4603694013421,-0.346005744297198
"1565",224000,1,"LA SAIDIA",39.4891639983242,-0.371751558929313
"1566",224005,1,"JESUS",39.4576025543149,-0.389509688083405
"1567",224008,1,"PATRAIX",39.4614285426936,-0.392770119983039
"1568",224013,1,"PATRAIX",39.4563900904752,-0.393027124704487
"1569",224016,1,"PATRAIX",39.4629804584907,-0.401338502725954
"1570",224017,1,"PATRAIX",39.4628302574287,-0.398399169551632
"1571",224024,2,"L'OLIVERETA",39.4692708613586,-0.411040271494375
"1572",224025,2,"L'OLIVERETA",39.4686529117353,-0.411164971921515
"1573",224026,1,"QUATRE CARRERES",39.4527343135227,-0.37463370223267
"1574",224044,1,"POBLATS MARITIMS",39.4637647560853,-0.331921844939671
"1575",224045,1,"POBLATS MARITIMS",39.4637219616728,-0.331528962594009
"1576",224046,1,"QUATRE CARRERES",39.4399868894082,-0.374460164121126
"1577",224047,1,"QUATRE CARRERES",39.4401025295959,-0.37444114550323
"1578",224048,1,"L'OLIVERETA",39.4689776542377,-0.40534397800928
"1579",224049,1,"L'EIXAMPLE",39.4646220336873,-0.364281800355405
"1580",224050,1,"ALGIROS",39.4734418580069,-0.348531443352901
"1581",224059,1,"JESUS",39.443503413178,-0.38888519043355
"1582",224067,1,"QUATRE CARRERES",39.4555358327447,-0.365584082725101
"1583",224069,1,"POBLATS MARITIMS",39.4742085115084,-0.330107746719859
"1584",224075,1,"CAMINS AL GRAU",39.4605619553844,-0.346070864652741
"1585",224086,2,"POBLATS DEL SUD",39.428096151406,-0.362090061995604
"1586",224089,1,"PATRAIX",39.4615242348603,-0.412877524894259
"1587",224092,1,"BENIMACLET",39.4883463443824,-0.358833160356077
"1588",224093,1,"PATRAIX",39.4611930916011,-0.400857320106708
"1589",224094,1,"BENIMACLET",39.48678039435,-0.357721108053315
"1590",224095,1,"L'EIXAMPLE",39.4657309408561,-0.368519413385364
"1591",224096,1,"L'OLIVERETA",39.4647422003746,-0.396139569843272
"1592",224097,1,"EL PLA DEL REAL",39.4816984820143,-0.360848358666162
"1593",224099,1,"PATRAIX",39.451706866851,-0.403405109741442
"1594",224100,1,"PATRAIX",39.4519002749225,-0.403523932450539
"1595",224102,1,"BENIMACLET",39.4874763717062,-0.366569575347771
"1596",224105,1,"QUATRE CARRERES",39.4547621313402,-0.36836054478532
"1597",224107,1,"PATRAIX",39.4645353236101,-0.389829337095882
"1598",224109,1,"LA SAIDIA",39.4899099013661,-0.380435466441267
"1599",224113,1,"POBLATS MARITIMS",39.4808757080392,-0.328677929683037
"1600",224114,1,"CAMPANAR",39.4816258168681,-0.39830928907387
"1601",224117,2,"CAMINS AL GRAU",39.4701585723012,-0.351713808237218
"1602",224119,1,"ALGIROS",39.4792009833234,-0.351713673959394
