"","station","wday","hour","mean.day"
"28152","168","4",23,10.0555555555556
"28153","168","5",0,10.310119047619
"28154","168","5",1,10.7135317460317
"28155","168","5",2,11.1050595238095
"28156","168","5",3,11.1841676841677
"28157","168","5",4,11.1718465295388
"28158","168","5",5,10.4084637584638
"28159","168","5",6,8.76519965077657
"28160","168","5",7,6.44118049706285
"28161","168","5",8,5.37909312909313
"28162","168","5",9,5.03154323746429
"28163","168","5",10,5.38862055986669
"28164","168","5",11,5.24758297258297
"28165","168","5",12,5.72652036645845
"28166","168","5",13,7.42729952795742
"28167","168","5",14,8.96507319434951
"28168","168","5",15,9.09608561373267
"28169","168","5",16,8.16981154810102
"28170","168","5",17,8.48436813444554
"28171","168","5",18,8.29148855530435
"28172","168","5",19,8.24358130904183
"28173","168","5",20,8.54477101845524
"28174","168","5",21,8.71069340016709
"28175","168","5",22,8.27590947064631
"28176","168","5",23,8.13245614035088
"28177","168","6",0,8.92715121136174
"28178","168","6",1,9.68170426065163
"28179","168","6",2,10.125313283208
"28180","168","6",3,10.4927045177045
"28181","168","6",4,10.7383357383357
"28182","168","6",5,10.3701973951974
"28183","168","6",6,9.34541107041107
"28184","168","6",7,7.21225163725164
"28185","168","6",8,5.32196692196692
"28186","168","6",9,4.85343377382851
"28187","168","6",10,4.89787911518681
"28188","168","6",11,4.71762902339825
"28189","168","6",12,5.42921074651844
"28190","168","6",13,7.1785507165032
"28191","168","6",14,9.52067263221109
"28192","168","6",15,10.7626016433709
"28193","168","6",16,10.4967084114143
"28194","168","6",17,10.3101259139721
"28195","168","6",18,10.1690587190587
"28196","168","6",19,10.5147547964856
"28197","168","6",20,10.4443251193251
"28198","168","6",21,10.1650061594179
"28199","168","6",22,9.64454619454619
"28200","168","6",23,9.57124172124172
"28201","168","7",0,9.82412723728513
"28202","168","7",1,10.0993793243793
"28203","168","7",2,10.501221001221
"28204","168","7",3,10.803869047619
"28205","168","7",4,10.9651966089466
"28206","168","7",5,10.8619345238095
"28207","168","7",6,10.6823151629073
"28208","168","7",7,10.4159920634921
"28209","168","7",8,9.24375963408573
"28210","168","7",9,8.58276315789474
"28211","168","7",10,8.3087950937951
"28212","168","7",11,8.34251865459103
"28213","168","7",12,8.80481107160384
"28214","168","7",13,9.82206078643579
"28215","168","7",14,10.6408116883117
