Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d
Peris y Valero - Salamanca;149;T;19;1;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36179534600499663, 39.462934287947085], ""type"": ""Point""}";39.462934287947085, -0.36179534600499663
José María de Haro - Justo y Pastor;160;T;16;4;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.33898126470999496, 39.467336291769534], ""type"": ""Point""}";39.467336291769534, -0.33898126470999496
Armada Española - Mariano Cuber;162;T;12;6;19;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3297952360224295, 39.46360427573933], ""type"": ""Point""}";39.46360427573933, -0.3297952360224295
Pavía - Columbretes;164;T;10;7;17;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3246342149862025, 39.46846028903177], ""type"": ""Point""}";39.46846028903177, -0.3246342149862025
Convento Carmelitas - Alboraya;130;T;8;7;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.370210358642677, 39.483238360081586], ""type"": ""Point""}";39.483238360081586, -0.370210358642677
San Pancracio - Periodista Llorente;138;T;6;14;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.38422240207482833, 39.48819038284581], ""type"": ""Point""}";39.48819038284581, -0.38422240207482833
Campanar - Nicasio Benlloch;140;T;6;14;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3896004206542252, 39.48800438494039], ""type"": ""Point""}";39.48800438494039, -0.3896004206542252
Isabel de Villena - Mendizábal;170;T;19;1;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.32533420529241996, 39.482973337910934], ""type"": ""Point""}";39.482973337910934, -0.32533420529241996
Bombero Ramón Duart - Hermanos Maristas;184;T;11;4;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36557036636455215, 39.45278225629358], ""type"": ""Point""}";39.45278225629358, -0.36557036636455215
Puerto Rico - Cuba;156;T;14;1;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3763453968184098, 39.46096428829767], ""type"": ""Point""}";39.46096428829767, -0.3763453968184098
Av. del Cid - Julián Peña;200;T;2;13;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3932144497376184, 39.467737319045916], ""type"": ""Point""}";39.467737319045916, -0.3932144497376184
Ausias March - Av. de la Plata;183;T;10;8;18;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3722843899417025, 39.45262025913349], ""type"": ""Point""}";39.45262025913349, -0.3722843899417025
Ebanista Caselles - Ausias March;185;T;3;12;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3705033850186671, 39.45004424948915], ""type"": ""Point""}";39.45004424948915, -0.3705033850186671
Pintor Stolz - Nueve de Octubre;217;T;0;25;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.40459648652865626, 39.47032833321364], ""type"": ""Point""}";39.47032833321364, -0.40459648652865626
Camp del Turia - Corts Valencianes;240;T;0;20;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.40154745608135123, 39.495004413973305], ""type"": ""Point""}";39.495004413973305, -0.40154745608135123
Campos Crespo - Juan de Garay;210;T;5;10;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.39671647037206986, 39.45555328036534], ""type"": ""Point""}";39.45555328036534, -0.39671647037206986
Fray Juanípero Serra - Torrente;212;T;12;3;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}";39.46148430130945, -0.40039647823746194
Santa Cruz de Tenerife, 21;214;T;5;10;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.4005764763988502, 39.464932313028335], ""type"": ""Point""}";39.464932313028335, -0.4005764763988502
Levante U.D. - Ecuador;237;T;7;8;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.39103842063587124, 39.494758407776374], ""type"": ""Point""}";39.494758407776374, -0.39103842063587124
Pio IX - Músico Cabanilles;259;T;10;10;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}";39.44546024514969, -0.3930154660803912
Cra. Malilla - Oltá;192;T;11;9;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3787144113919625, 39.45263726161547], ""type"": ""Point""}";39.45263726161547, -0.3787144113919625
Padre Esteban Pernet - Casa Misericordia;263;T;11;7;18;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4096445056541294, 39.467043324648515], ""type"": ""Point""}";39.467043324648515, -0.4096445056541294
Alcasser - Poeta Alberto Lista;265;T;1;14;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.40811749816977394, 39.470973337167365], ""type"": ""Point""}";39.470973337167365, -0.40811749816977394
Plaza América - Cirilo Amorós - Sorní;29;T;12;8;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3652993525279599, 39.47011231364647], ""type"": ""Point""}";39.47011231364647, -0.3652993525279599
Huesca - Barón de Cárcer;14;T;14;6;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}";39.46896731649349, -0.37972440222295445
Colón 20-22;18;T;8;15;24;T;23/01/2024 17:44:30;"{""coordinates"": [-0.37312937987373457, 39.468191311513856], ""type"": ""Point""}";39.468191311513856, -0.37312937987373457
Navarro Reverter - Grabador Esteve;28;T;20;9;29;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36775135880068294, 39.47158231958138], ""type"": ""Point""}";39.47158231958138, -0.36775135880068294
Regne de Valencia - Doctor Sumsi;34;T;17;0;17;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36996137299092113, 39.46412229654908], ""type"": ""Point""}";39.46412229654908, -0.36996137299092113
Fontanars dels Aforins - Vall d'Uixó;198;T;1;19;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.395316462028443, 39.46088029740053], ""type"": ""Point""}";39.46088029740053, -0.395316462028443
Tomas de Villarroya - San Vicente;255;T;5;13;18;F;23/01/2024 17:44:30;"{""coordinates"": [-0.38602944085901075, 39.447703249066144], ""type"": ""Point""}";39.447703249066144, -0.38602944085901075
Plaza Salvador Soria, 8;257;T;8;12;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.38910445245389036, 39.44525124234686], ""type"": ""Point""}";39.44525124234686, -0.38910445245389036
Campamento, 81;269;T;4;11;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.42626353678444817, 39.49990744160243], ""type"": ""Point""}";39.49990744160243, -0.42626353678444817
Albacete - Maluquer;243;T;0;18;18;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3845424236611566, 39.46282029901061], ""type"": ""Point""}";39.46282029901061, -0.3845424236611566
Nueve de Octubre - Cieza;245;T;10;10;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}";39.47213024806011, -0.40527029936434095
José Meliá Castelló - Campos Crespo;253;T;1;14;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}";39.45272627278094, -0.4011014879360589
Doctor Tomás Sala - Carteros;254;T;5;14;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3899174536874086, 39.447714251158565], ""type"": ""Point""}";39.447714251158565, -0.3899174536874086
Pintor Rafael Solves - Jose Soto Mico;258;T;1;14;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3891374575312111, 39.43982822413676], ""type"": ""Point""}";39.43982822413676, -0.3891374575312111
Tres Forques - Colonia Española de Mexico;262;T;13;5;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.40922550688289966, 39.463472312903384], ""type"": ""Point""}";39.463472312903384, -0.40922550688289966
Av. del Cid - Marconi;264;T;7;13;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.4144325204450301, 39.46916033373618], ""type"": ""Point""}";39.46916033373618, -0.4144325204450301
Dels Gremis - Campos Crespo;252;T;3;17;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.40357449843597065, 39.45028826570709], ""type"": ""Point""}";39.45028826570709, -0.40357449843597065
