Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
46250 València;4625002 València distrito 02;4625002036 València sección 02036;Fuente de ingreso: salario;2021;16.031,00
46250 València;4625002 València distrito 02;4625002037 València sección 02037;Renta bruta media por persona;2021;39.664,00
46250 València;4625002 València distrito 02;4625002037 València sección 02037;Fuente de ingreso: salario;2021;15.017,00
46250 València;4625002 València distrito 02;4625002039 València sección 02039;Renta bruta media por persona;2021;38.478,00
46250 València;4625002 València distrito 02;4625002039 València sección 02039;Fuente de ingreso: salario;2021;14.749,00
46250 València;4625002 València distrito 02;4625002040 València sección 02040;Renta bruta media por persona;2021;46.570,00
46250 València;4625002 València distrito 02;4625002040 València sección 02040;Fuente de ingreso: salario;2021;27.165,00
46250 València;4625002 València distrito 02;4625002041 València sección 02041;Renta bruta media por persona;2021;42.264,00
46250 València;4625002 València distrito 02;4625002041 València sección 02041;Fuente de ingreso: salario;2021;18.495,00
46250 València;4625002 València distrito 02;4625002042 València sección 02042;Renta bruta media por persona;2021;27.309,00
46250 València;4625002 València distrito 02;4625002042 València sección 02042;Fuente de ingreso: salario;2021;11.602,00
46250 València;4625002 València distrito 02;4625002043 València sección 02043;Renta bruta media por persona;2021;36.753,00
46250 València;4625002 València distrito 02;4625002043 València sección 02043;Fuente de ingreso: salario;2021;15.532,00
46250 València;4625002 València distrito 02;4625002044 València sección 02044;Renta bruta media por persona;2021;26.172,00
46250 València;4625002 València distrito 02;4625002044 València sección 02044;Fuente de ingreso: salario;2021;12.502,00
46250 València;4625002 València distrito 02;4625002045 València sección 02045;Renta bruta media por persona;2021;36.564,00
46250 València;4625002 València distrito 02;4625002045 València sección 02045;Fuente de ingreso: salario;2021;16.054,00
46250 València;4625002 València distrito 02;4625002046 València sección 02046;Renta bruta media por persona;2021;36.347,00
46250 València;4625002 València distrito 02;4625002046 València sección 02046;Fuente de ingreso: salario;2021;16.054,00
46250 València;4625002 València distrito 02;4625002047 València sección 02047;Renta bruta media por persona;2021;37.308,00
46250 València;4625002 València distrito 02;4625002047 València sección 02047;Fuente de ingreso: salario;2021;14.301,00
46250 València;4625002 València distrito 02;4625002050 València sección 02050;Renta bruta media por persona;2021;27.959,00
46250 València;4625002 València distrito 02;4625002050 València sección 02050;Fuente de ingreso: salario;2021;12.451,00
46250 València;4625002 València distrito 02;4625002051 València sección 02051;Renta bruta media por persona;2021;29.050,00
46250 València;4625002 València distrito 02;4625002051 València sección 02051;Fuente de ingreso: salario;2021;17.098,00
46250 València;4625002 València distrito 02;4625002053 València sección 02053;Renta bruta media por persona;2021;27.467,00
46250 València;4625002 València distrito 02;4625002053 València sección 02053;Fuente de ingreso: salario;2021;15.338,00
46250 València;4625002 València distrito 02;4625002054 València sección 02054;Renta bruta media por persona;2021;27.938,00
46250 València;4625002 València distrito 02;4625002054 València sección 02054;Fuente de ingreso: salario;2021;15.679,00
46250 València;4625002 València distrito 02;4625002055 València sección 02055;Renta bruta media por persona;2021;32.726,00
46250 València;4625002 València distrito 02;4625002055 València sección 02055;Fuente de ingreso: salario;2021;13.733,00
46250 València;4625002 València distrito 02;4625002057 València sección 02057;Renta bruta media por persona;2021;29.424,00
46250 València;4625002 València distrito 02;4625002057 València sección 02057;Fuente de ingreso: salario;2021;15.599,00
46250 València;4625003 València distrito 03;;Renta bruta media por persona;2021;22.201,00
46250 València;4625003 València distrito 03;;Fuente de ingreso: salario;2021;11.945,00
46250 València;4625003 València distrito 03;4625003001 València sección 03001;Renta bruta media por persona;2021;22.599,00
46250 València;4625003 València distrito 03;4625003001 València sección 03001;Fuente de ingreso: salario;2021;11.850,00
46250 València;4625003 València distrito 03;4625003002 València sección 03002;Renta bruta media por persona;2021;23.469,00
46250 València;4625003 València distrito 03;4625003002 València sección 03002;Fuente de ingreso: salario;2021;14.064,00
46250 València;4625003 València distrito 03;4625003004 València sección 03004;Renta bruta media por persona;2021;18.991,00
46250 València;4625003 València distrito 03;4625003004 València sección 03004;Fuente de ingreso: salario;2021;10.787,00
46250 València;4625003 València distrito 03;4625003007 València sección 03007;Renta bruta media por persona;2021;22.873,00
46250 València;4625003 València distrito 03;4625003007 València sección 03007;Fuente de ingreso: salario;2021;12.284,00
46250 València;4625003 València distrito 03;4625003008 València sección 03008;Renta bruta media por persona;2021;20.362,00
46250 València;4625003 València distrito 03;4625003008 València sección 03008;Fuente de ingreso: salario;2021;12.061,00
46250 València;4625003 València distrito 03;4625003010 València sección 03010;Renta bruta media por persona;2021;17.608,00
46250 València;4625003 València distrito 03;4625003010 València sección 03010;Fuente de ingreso: salario;2021;9.585,00
46250 València;4625003 València distrito 03;4625003013 València sección 03013;Renta bruta media por persona;2021;23.188,00
46250 València;4625003 València distrito 03;4625003013 València sección 03013;Fuente de ingreso: salario;2021;11.048,00
46250 València;4625003 València distrito 03;4625003014 València sección 03014;Renta bruta media por persona;2021;
46250 València;4625003 València distrito 03;4625003014 València sección 03014;Fuente de ingreso: salario;2021;
46250 València;4625003 València distrito 03;4625003015 València sección 03015;Renta bruta media por persona;2021;25.008,00
46250 València;4625003 València distrito 03;4625003015 València sección 03015;Fuente de ingreso: salario;2021;13.515,00
46250 València;4625003 València distrito 03;4625003017 València sección 03017;Renta bruta media por persona;2021;20.168,00
46250 València;4625003 València distrito 03;4625003017 València sección 03017;Fuente de ingreso: salario;2021;11.493,00
46250 València;4625003 València distrito 03;4625003018 València sección 03018;Renta bruta media por persona;2021;20.768,00
46250 València;4625003 València distrito 03;4625003018 València sección 03018;Fuente de ingreso: salario;2021;11.783,00
46250 València;4625003 València distrito 03;4625003019 València sección 03019;Renta bruta media por persona;2021;22.406,00
46250 València;4625003 València distrito 03;4625003019 València sección 03019;Fuente de ingreso: salario;2021;13.765,00
46250 València;4625003 València distrito 03;4625003020 València sección 03020;Renta bruta media por persona;2021;24.102,00
46250 València;4625003 València distrito 03;4625003020 València sección 03020;Fuente de ingreso: salario;2021;13.425,00
46250 València;4625003 València distrito 03;4625003021 València sección 03021;Renta bruta media por persona;2021;18.484,00
46250 València;4625003 València distrito 03;4625003021 València sección 03021;Fuente de ingreso: salario;2021;10.825,00
46250 València;4625003 València distrito 03;4625003023 València sección 03023;Renta bruta media por persona;2021;24.012,00
46250 València;4625003 València distrito 03;4625003023 València sección 03023;Fuente de ingreso: salario;2021;12.382,00
46250 València;4625003 València distrito 03;4625003025 València sección 03025;Renta bruta media por persona;2021;20.938,00
46250 València;4625003 València distrito 03;4625003025 València sección 03025;Fuente de ingreso: salario;2021;11.633,00
46250 València;4625003 València distrito 03;4625003026 València sección 03026;Renta bruta media por persona;2021;20.233,00
46250 València;4625003 València distrito 03;4625003026 València sección 03026;Fuente de ingreso: salario;2021;10.714,00
46250 València;4625003 València distrito 03;4625003027 València sección 03027;Renta bruta media por persona;2021;22.088,00
46250 València;4625003 València distrito 03;4625003027 València sección 03027;Fuente de ingreso: salario;2021;11.450,00
46250 València;4625003 València distrito 03;4625003029 València sección 03029;Renta bruta media por persona;2021;20.521,00
46250 València;4625003 València distrito 03;4625003029 València sección 03029;Fuente de ingreso: salario;2021;11.274,00
46250 València;4625003 València distrito 03;4625003030 València sección 03030;Renta bruta media por persona;2021;22.424,00
46250 València;4625003 València distrito 03;4625003030 València sección 03030;Fuente de ingreso: salario;2021;13.176,00
46250 València;4625003 València distrito 03;4625003032 València sección 03032;Renta bruta media por persona;2021;15.979,00
46250 València;4625003 València distrito 03;4625003032 València sección 03032;Fuente de ingreso: salario;2021;9.332,00
46250 València;4625003 València distrito 03;4625003033 València sección 03033;Renta bruta media por persona;2021;24.295,00
46250 València;4625003 València distrito 03;4625003033 València sección 03033;Fuente de ingreso: salario;2021;13.397,00
46250 València;4625003 València distrito 03;4625003034 València sección 03034;Renta bruta media por persona;2021;30.130,00
46250 València;4625003 València distrito 03;4625003034 València sección 03034;Fuente de ingreso: salario;2021;13.386,00
46250 València;4625003 València distrito 03;4625003035 València sección 03035;Renta bruta media por persona;2021;23.186,00
46250 València;4625003 València distrito 03;4625003035 València sección 03035;Fuente de ingreso: salario;2021;12.344,00
46250 València;4625003 València distrito 03;4625003036 València sección 03036;Renta bruta media por persona;2021;23.868,00
46250 València;4625003 València distrito 03;4625003036 València sección 03036;Fuente de ingreso: salario;2021;12.034,00
46250 València;4625003 València distrito 03;4625003037 València sección 03037;Renta bruta media por persona;2021;22.123,00
46250 València;4625003 València distrito 03;4625003037 València sección 03037;Fuente de ingreso: salario;2021;11.580,00
46250 València;4625003 València distrito 03;4625003038 València sección 03038;Renta bruta media por persona;2021;27.385,00
46250 València;4625003 València distrito 03;4625003038 València sección 03038;Fuente de ingreso: salario;2021;13.270,00
46250 València;4625003 València distrito 03;4625003040 València sección 03040;Renta bruta media por persona;2021;23.178,00
46250 València;4625003 València distrito 03;4625003040 València sección 03040;Fuente de ingreso: salario;2021;13.247,00
46250 València;4625003 València distrito 03;4625003041 València sección 03041;Renta bruta media por persona;2021;20.709,00
46250 València;4625003 València distrito 03;4625003041 València sección 03041;Fuente de ingreso: salario;2021;12.549,00
46250 València;4625003 València distrito 03;4625003044 València sección 03044;Renta bruta media por persona;2021;24.041,00
46250 València;4625003 València distrito 03;4625003044 València sección 03044;Fuente de ingreso: salario;2021;12.035,00
46250 València;4625003 València distrito 03;4625003046 València sección 03046;Renta bruta media por persona;2021;19.772,00
46250 València;4625003 València distrito 03;4625003046 València sección 03046;Fuente de ingreso: salario;2021;11.174,00
46250 València;4625003 València distrito 03;4625003047 València sección 03047;Renta bruta media por persona;2021;21.124,00
46250 València;4625003 València distrito 03;4625003047 València sección 03047;Fuente de ingreso: salario;2021;10.461,00
46250 València;4625003 València distrito 03;4625003048 València sección 03048;Renta bruta media por persona;2021;25.592,00
46250 València;4625003 València distrito 03;4625003048 València sección 03048;Fuente de ingreso: salario;2021;13.220,00
46250 València;4625003 València distrito 03;4625003049 València sección 03049;Renta bruta media por persona;2021;21.057,00
46250 València;4625003 València distrito 03;4625003049 València sección 03049;Fuente de ingreso: salario;2021;10.848,00
46250 València;4625003 València distrito 03;4625003050 València sección 03050;Renta bruta media por persona;2021;23.232,00
46250 València;4625003 València distrito 03;4625003050 València sección 03050;Fuente de ingreso: salario;2021;12.234,00
46250 València;4625003 València distrito 03;4625003052 València sección 03052;Renta bruta media por persona;2021;20.824,00
46250 València;4625003 València distrito 03;4625003052 València sección 03052;Fuente de ingreso: salario;2021;11.152,00
46250 València;4625003 València distrito 03;4625003053 València sección 03053;Renta bruta media por persona;2021;19.702,00
46250 València;4625003 València distrito 03;4625003053 València sección 03053;Fuente de ingreso: salario;2021;11.760,00
46250 València;4625003 València distrito 03;4625003055 València sección 03055;Renta bruta media por persona;2021;29.840,00
46250 València;4625003 València distrito 03;4625003055 València sección 03055;Fuente de ingreso: salario;2021;13.129,00
46250 València;4625004 València distrito 04;;Renta bruta media por persona;2021;19.797,00
46250 València;4625004 València distrito 04;;Fuente de ingreso: salario;2021;11.682,00
46250 València;4625004 València distrito 04;4625004001 València sección 04001;Renta bruta media por persona;2021;21.390,00
46250 València;4625004 València distrito 04;4625004001 València sección 04001;Fuente de ingreso: salario;2021;10.622,00
46250 València;4625004 València distrito 04;4625004002 València sección 04002;Renta bruta media por persona;2021;13.739,00
46250 València;4625004 València distrito 04;4625004002 València sección 04002;Fuente de ingreso: salario;2021;7.663,00
46250 València;4625004 València distrito 04;4625004003 València sección 04003;Renta bruta media por persona;2021;18.063,00
46250 València;4625004 València distrito 04;4625004003 València sección 04003;Fuente de ingreso: salario;2021;10.213,00
